GIRLS UNDER 16,2017,Nationals Union 01 Black,MI,Michigan
GIRLS UNDER 16,2018,SJEB Rush 02 Academy Blue,NJ,New Jersey
GIRLS UNDER 16,2019,Lou Fusz 03 Blue,MO,Missouri
BOYS UNDER 15,2001,FC Delco Dynamo,E-PA,Pennsylvania
BOYS UNDER 15,2002,Rochester Junior Rhinos Elite,NY-W,New York
BOYS UNDER 15,2003,Casa Mia Bays,MD,Maryland
BOYS UNDER 15,2004,Arsenal FC,CA-S,California
BOYS UNDER 15,2005,FC Greater Boston Bolts,MA,Massachusetts
BOYS UNDER 15,2006,So Cal United,CA-S,California
BOYS UNDER 15,2007,Michigan Wolves,MI,Michigan
BOYS UNDER 15,2008,Baltimore Casa Mia Bays,MD,Maryland
BOYS UNDER 15,2009,Baltimore Casa Mia Bays,MD,Maryland
BOYS UNDER 15,2010,Baltimore Bays Chelsea,MD,Maryland
BOYS UNDER 15,2011,Chicago Fire Juniors,IL,Illinois
BOYS UNDER 15,2012,Fullerton Rangers 96 White,CA-S,California
BOYS UNDER 15,2013,Santa Barbara SC White,CA-S,California
BOYS UNDER 15,2014,Pateadores San Diego,CA-S,California
BOYS UNDER 15,2015,Sporting KC Academy,KS,Kansas
BOYS UNDER 15,2016,McLean 00 Green,VA,Virginia
BOYS UNDER 15,2018,LVSA 03 Silver,NV,Nevada
BOYS UNDER 15,2019,Real Jersey FC,NJ,New Jersey
GIRLS UNDER 15,2001,Colorado Rush Nike,CO,Colorado
GIRLS UNDER 15,2002,Laguna Hills Eclipse,CA-S,California
GIRLS UNDER 15,2003,PDA Wildcats,NJ,New Jersey
GIRLS UNDER 15,2004,Mustang Blast,CA-N,California
GIRLS UNDER 15,2005,St. Louis Soccer Club,MO,Missouri
GIRLS UNDER 15,2006,Eclipse Select,IL,Illinois
GIRLS UNDER 15,2007,So Cal Blues,CA-S,California
GIRLS UNDER 15,2008,Dallas Texans 93 Red Dallas,N-TX,Texas
GIRLS UNDER 15,2009,San Diego Surf,CA-S,California
GIRLS UNDER 15,2010,Sting 95,N-TX,Texas
GIRLS UNDER 15,2011,PDA Slammers,NJ,New Jersey
GIRLS UNDER 15,2012,Legends FC,CA-S,California
GIRLS UNDER 15,2013,Eclipse Elite Black 97-98,IL,Illinois
GIRLS UNDER 15,2014,Jacksonville FC 98/99 Elite,FL,Florida
GIRLS UNDER 15,2015,Legends FC 99,CA-S,California
GIRLS UNDER 15,2016,Midwest United FC 01 Royal,MI,Michigan
GIRLS UNDER 15,2017,Nationals Union 02 Black,MI,Michigan
GIRLS UNDER 15,2018,Beach FC DPL,CA-S,California
GIRLS UNDER 15,2019,SC Waukesha 04 Blue,WI,Wisconsin
BOYS UNDER 14,2001,Potomac Cougars,MD,Maryland
BOYS UNDER 14,2002,La Jolla Nomads White,CA-S,California
BOYS UNDER 14,2003,'88 CASL Elite,NC,North Carolina
BOYS UNDER 14,2004,Celtic Harps,CA-S,California
BOYS UNDER 14,2005,So Cal United,CA-S,California
BOYS UNDER 14,2006,Valley United Blast,CA-S,California
BOYS UNDER 14,2007,Baltimore Casa Mia Bays,MD,Maryland
BOYS UNDER 14,2008,NJSA 04 Gunners,NJ,New Jersey
BOYS UNDER 14,2009,West Coast FC,CA-S,California
BOYS UNDER 14,2010,Eclipse Select,IL,Illinois
BOYS UNDER 14,2011,Fullerton Rangers 96 White,CA-S,California
BOYS UNDER 14,2012,Santa Barbara SC White,CA-S,California
BOYS UNDER 14,2013,Pateadores CM,CA-S,California
BOYS UNDER 14,2014,United FA 00 Elite,GA,Georgia
BOYS UNDER 14,2015,Houstonians 2001,S-TX,Texas
BOYS UNDER 14,2016,Valparaiso United FC 02 JG,AZ,Arizona
BOYS UNDER 14,2017,USA/MP 2003 Premier,SC,South Carolina
BOYS UNDER 14,2018,Nationals Union 04 Black,MI,Michigan
BOYS UNDER 14,2019,Libertyville FC 1974 Elite,IL,Illinois
GIRLS UNDER 14,2001,KC Dynamos,KS,Kansas
GIRLS UNDER 14,2002,Slammers FC,CA-S,California
GIRLS UNDER 14,2003,Slammers FC,CA-S,California
GIRLS UNDER 14,2004,Eagles,CA-S,California
GIRLS UNDER 14,2005,So Cal Blues,CA-S,California
GIRLS UNDER 14,2006,ISC Strikers,CA-S,California
GIRLS UNDER 14,2007,Sting Dallas Royal,N-TX,Texas
GIRLS UNDER 14,2008,San Juan Spirits,CA-N,California
GIRLS UNDER 14,2009,Mustang Blast,CA-N,California
GIRLS UNDER 14,2010,Foothill MVLA Lightning,CA-N,California
GIRLS UNDER 14,2011,Sting 97,N-TX,Texas
GIRLS UNDER 14,2012,MSC Coyotes Green,MD,Maryland
GIRLS UNDER 14,2013,Eastside FC 98 Red,WA,Washington
GIRLS UNDER 14,2014,NEFC Elite,MA,Massachusetts
GIRLS UNDER 14,2015,Legends FC Gold,CA-S,California
GIRLS UNDER 14,2016,PSG MI Gators 02 Orange,MI,Michigan
GIRLS UNDER 14,2018,Michigan Jaguars 04 Green,MI,Michigan
GIRLS UNDER 14,2019,D'Feeters 05 Black,N-TX,Texas
BOYS UNDER 13,2013,Pateadores LA,CA-S,California
BOYS UNDER 13,2014,WAZA FC East 01 Juniors,MI,Michigan
BOYS UNDER 13,2015,Baltimore Celtic Darby 01/02,MD,Maryland
BOYS UNDER 13,2017,St. Louis Scott Gallagher Pre Academy 04,MO,Missouri
BOYS UNDER 13,2018,CDA Slammers FC HB05 Elite,CA-S,California
BOYS UNDER 13,2019,2006 Pipeline SC Pre-Academy,MD,Maryland
GIRLS UNDER 13,2013,Legends FC 99,CA-S,California
GIRLS UNDER 13,2014,Surf Academy,CA-S,California
GIRLS UNDER 13,2015,PSG MI Gators 02 Orange,MI,Michigan
GIRLS UNDER 13,2016,Solar Chelsea Red,TX-N,Texas
GIRLS UNDER 13,2017,San Diego Surf,CA-S,California
GIRLS UNDER 13,2018,San Diego Surf 05 Academy Select,CA-S,California
GIRLS UNDER 13,2019,Albion SC Whittaker,CA-S,California
